Категория,Подкатегория,Получатель,Наименование,Описание,Размер_ставка,Условия,Контакты,Нормативный_акт,Дополнительно,Лист_источник,Строка_источник
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,"Юридические лица, индивидуальные предприниматели",Государственная поддержка художественных народных ремесел и декоративно-прикладного искусства на территории Красноярского края,"Субсидии юридическим лицам, индивидуальным предпринимателям, осуществляющим деятельность в области художественных народных ремесел на территории Красноярского края, на возмещение затрат, связанных с приобретением специального оборудования, сырья и расходных материалов","4000,0 тыс. руб. ежегодно","Средства субсидии предоставляются по результатам конкурсного отбора в соответствии с Порядком предоставления субсидий юридическим лицам, индивидуальным предпринимателям, осуществляющим деятельность в области художественных народных ремесел на территории Красноярского края, на возмещение затрат, связанных с приобретением специального оборудования, сырья и расходных материалов, и проведения отбора получателей указанных субсидий (приказ министерства культуры Красноярского края от 30.05.2025 № 26н).
Заявитель на дату рассмотрения заявки должен соответствовать следующим требованиям:
1) отсутствие или непревышение на едином налоговом счете размера, определенного пунктом 3 статьи 47 Налогового кодекса Российской Федерации, задолженности по уплате налогов, сборов и страховых взносов в бюджеты бюджетной системы Российской Федерации;
2) отсутствие просроченной задолженности по возврату в бюджет Красноярского края иных субсидий, бюджетных инвестиций, а также иной просроченной (неурегулированной) задолженности по денежным обязательствам перед Красноярским краем;
3) заявитель - юридическое лицо не находится в процессе реорганизации (за исключением реорганизации в форме присоединения к заявителю - юридическому лицу другого юридического лица), ликвидации, в отношении него не введена процедура банкротства, деятельность заявителя - юридического лица не приостановлена в порядке, предусмотренном законодательством Российской Федерации, заявитель - индивидуальный предприниматель не прекратил деятельность в качестве индивидуального предпринимателя;
4) отсутствие в реестре дисквалифицированных лиц сведений о дисквалифицированных руководителях, членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа, или главном бухгалтере заявителя - юридического лица, о заявителе - индивидуальном предпринимателе;
5) заявитель - юридическое лицо не является иностранным юридическим лицом, в том числе местом регистрации которого является государство или территория, включенные в утверждаемый Министерством финансов Российской Федерации перечень государств и территорий, используемых для промежуточного (офшорного) владения активами в Российской Федерации (далее - офшорные компании), а также российским юридическим лицом, в уставном (складочном) капитале которого доля прямого или косвенного (через третьих лиц) участия офшорных компаний в совокупности превышает 25 процентов;
6) заявитель не получает средства из краевого бюджета на основании иных нормативных правовых актов Красноярского края на цели, указанные в пункте 1.3 Порядка;
7) заявитель не находится в перечне организаций и физических лиц, в отношении которых имеются сведения об их причастности к экстремистской деятельности или терроризму, а также в составляемых в рамках реализации полномочий, предусмотренных главой VII Устава ООН, Советом Безопасности ООН или органами, специально созданными решениями Совета Безопасности ООН, перечнях организаций и физических лиц, связанных с террористическими организациями и террористами или с распространением оружия массового уничтожения;
8) заявитель не является иностранным агентом в соответствии с Федеральным законом от 14.07.2022 № 255-ФЗ ""О контроле за деятельностью лиц, находящихся под иностранным влиянием"";
9) заявитель осуществляет деятельность в области художественных народных ремесел на территории Красноярского края не менее одного года","Официальный сайт министерства культуры http://krascult.krskstate.ru;
ГИИС ""Электронный бюджет"";
(391) 220-64-24",,,Финансовая поддержка,16
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Организации кинематографии (за исключением государственных (муниципальных) учреждений),Государственная поддержка кинематографии в Красноярском крае,Субсидии организациям кинематографии (за исключением государственных (муниципальных) учреждений) на возмещение части затрат в связи с производством национальных фильмов (частей национальных фильмов) на территории края,"50000,0 тыс. руб.","Средства субсидии предоставляются по результатам конкурсного отбора в соответствии с Порядком предоставления субсидий организациям кинематографии (за исключением государственных (муниципальных) учреждений) на возмещение части затрат в связи с производством национальных фильмов (частей национальных фильмов) на территории Красноярского края и проведения отбора получателей указанных субсидий (приказ министерства культуры Красноярского края от 28.04.2025 № 23н).
Заявитель по состоянию на дату рассмотрения заявки должен соответствовать следующим требованиям:
1) заявитель не является иностранным юридическим лицом, в том числе местом регистрации которого является государство или территория, включенные в утверждаемый Министерством финансов Российской Федерации перечень государств и территорий, используемых для промежуточного (офшорного) владения активами в Российской Федерации (далее - офшорные компании), а также российским юридическим лицом, в уставном (складочном) капитале которого доля прямого или косвенного (через третьих лиц) участия офшорных компаний в совокупности превышает 25 процентов (если иное не установлено законодательством Российской Федерации);
2) заявитель не находится в перечне организаций и физических лиц, в отношении которых имеются сведения об их причастности к экстремистской деятельности или терроризму;
3) заявитель не находится в составляемых в рамках реализации полномочий, предусмотренных главой VII Устава ООН, Советом Безопасности ООН или органами, специально созданными решениями Совета Безопасности ООН, перечнях организаций и физических лиц, связанных с террористическими организациями и террористами или с распространением оружия массового уничтожения;
4) заявитель не получает средства из краевого бюджета на основании иных нормативных правовых актов Красноярского края на цель, установленную пунктом 1.6 Порядка;
5) заявитель не является иностранным агентом в соответствии с Федеральным законом от 14.07.2022 № 255-ФЗ ""О контроле за деятельностью лиц, находящихся под иностранным влиянием"";
6) у заявителя на едином налоговом счете отсутствует или не превышает размер, определенный пунктом 3 статьи 47 Налогового кодекса Российской Федерации, задолженность по уплате налогов, сборов и страховых взносов в бюджеты бюджетной системы Российской Федерации;
7) у заявителя отсутствует просроченная задолженность по возврату в краевой бюджет иных субсидий, бюджетных инвестиций, а также иная просроченная (неурегулированная) задолженность по денежным обязательствам перед Красноярским краем;
8) заявитель не находится в процессе реорганизации (за исключением реорганизации в форме присоединения к заявителю другого юридического лица), ликвидации, в отношении него не введена процедура банкротства, деятельность заявителя не приостановлена в порядке, предусмотренном законодательством Российской Федерации;
9) в РДЛ отсутствуют сведения о дисквалифицированных руководителе, членах коллегиального исполнительного органа, лице, исполняющем функции единоличного исполнительного органа, или главном бухгалтере (при наличии) заявителя;
10) производство национального фильма (частей национального фильма) запланировано на территории Красноярского края;
11) сценарий национального фильма (частей национального фильма) соответствует перечню приоритетных тем;
12) у заявителя отсутствуют несчастные случаи в процессе осуществления уставной деятельности по производству фильмов в течение 1 (одного) календарного года, предшествующего году проведения отбора.
2.7.1. Заявитель по состоянию на дату начала второго этапа отбора должен соответствовать следующему требованию:
затраты, произведенные на территории Красноярского края в связи с производством национального фильма (частей национального фильма), соответствуют перечню затрат в связи с производством национальных фильмов (частей национальных фильмов) на территории Красноярского края, приведенному в приложении N 3 к Порядку:
по договорам (соглашениям) поставки товаров, выполнения работ, оказания услуг, заключенным с третьими лицами, зарегистрированными на территории Красноярского края либо у которых на территории Красноярского края зарегистрированы обособленные подразделения (за исключением их дочерних обществ и аффилированных лиц), являющимися индивидуальными предпринимателями, зарегистрированными на территории Красноярского края (за исключением их аффилированных лиц), а также физическими лицами, применяющими специальный налоговый режим ""Налог на профессиональный доход"" и указавшими местом ведения своей деятельности Красноярский край (за исключением их аффилированных лиц);
по трудовым договорам, заключенным с физическими лицами, зарегистрированными по месту жительства на территории Красноярского края на момент производства национального фильма (части национального фильма) на территории Красноярского края (при наличии)","Официальный сайт министерства культуры http://krascult.krskstate.ru;
ГИИС ""Электронный бюджет"";
(391) 266-23-85",,,Финансовая поддержка,17
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Юридические лица,Гранты в форме субсидий на реализацию проектов в области инфомрационных технологий и связи,Грант на разработку (доработку) решений в области информационных технологий и связи.,От 1 до 10 млн рублей,"Юридические лица, осуществляющие деятельность на территории Красноярского края по ОКВЭД 61,62,63
Софинансирование участника отбора не менее 20% от стоимости проекта","Министерство цифрового развития Красноярского края
Дополнительную информацию по конкурсу можно получить в министерстве цифрового развития Красноярского края 
по тел.: +7 (391) 263-17-67 (доб. 758) 
e-mail: unikov.ya@digital.krskstate.ru.",,,Финансовая поддержка,18
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Юридические лица,"Конкурс на получение грантов РНФ по мероприятию «Проведение поисковых научных исследований в целях эффективного использования и развития научного потенциала субъектов РФ» приоритетного направления деятельности РНФ «Поддержка проведения научных исследований и развития научных коллективов, занимающих лидирующие позиции в определенных областях науки»","Конкурс проводится в соответствии с Порядком конкурсного отбора научных, научно-технических проектов РНФ, включая фундаментальные, прикладные исследования и разработки по решению правления РНФ совместно с органами власти субъектов РФ.","Финансирование одного проекта 
- до 22 млн рублей","1) Юридические лица, осуществляющие деятельность на территории Красноярского края по ОКВЭД 72; 
2) Соответствие приоритетным направлениям исследований;
3) Доля молодых исследователей до 39 лет в научном коллективе не менее 50%;
4) Софинансирование квалицированного заказчика.","КГАУ «Красноярский краевой фонд поддержки научной и научно-технической деятельности»: адрес – г. Красноярск, ул. Карла Маркса, 246, каб. 208; 
телефон – (391) 291-38-51; 
электронная почта – info@sfkras.ru 
сайт – http://www.sf-kras.ru.",,,Финансовая поддержка,19
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Юридические лица,Конкурс на получение грантов РНФ по выполнению прикладных научных исследований в рамках национального проекта по обеспечению технологического лидерства «Средства производства и автоматизации» с участием субъектов РФ,"Конкурс проводится в соответствии с Порядком конкурсного отбора научных, научно-технических проектов РНФ, включая фундаментальные, прикладные исследования и разработки по решению правления РНФ совместно с органами власти субъектов РФ.","Финансирование одного проекта 
- до 90 млн рублей","1) Юридические лица, осуществляющие деятельность на территории Красноярского края по ОКВЭД 72; 
2) Соответствие приоритетным направлениям исследований;
3) Доля молодых исследователей до 39 лет в научном коллективе не менее 50%;
4) Софинансирование квалицированного заказчика.","КГАУ «Красноярский краевой фонд поддержки научной и научно-технической деятельности»: адрес – г. Красноярск, ул. Карла Маркса, 246, каб. 208;
телефон – (391) 291-38-51;
электронная почта – info@sfkras.ru
сайт – http://www.sf-kras.ru",,,Финансовая поддержка,20
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Юридические лица,Конкурс на получение грантов Российского научного фонда по мероприятию «Проведение фундаментальных научных исследований и поисковых научных исследований отдельными научными группами» (региональный конкурс),"В конкурсе могут принимать участие проекты, реализуемые на базе находящихся на территории Красноярского края российских научных организаций, российских образовательных организаций высшего образования, иных российских организаций, учредительными документами которых предусмотрена возможность выполнения научных исследований.","Финансирование одного проекта 
– до 7 млн рублей","1) Юридические лица, осуществляющие деятельность на территории Красноярского края по ОКВЭД 72; 
2) Соответствие приоритетным направлениям исследований;
3) Доля молодых исследователей до 39 лет в научном коллективе не менее 50%;
4) Софинансирование квалицированного заказчика.","КГАУ «Красноярский краевой фонд поддержки научной и научно-технической деятельности»: адрес – г. Красноярск, ул. Карла Маркса, 246, каб. 208; 
телефон – (391) 291-38-51;
электронная почта – info@sfkras.ru
сайт – http://www.sf-kras.ru.",,,Финансовая поддержка,21
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,Юридические лица,Конкурс на получение грантов Российского научного фонда по мероприятию «Проведение фундаментальных научных исследований и поисковых научных исследований малыми отдельными научными группами» (региональный конкурс),"В конкурсе могут принимать участие проекты, реализуемые на базе находящихся на территории Красноярского края российских научных организаций, российских образовательных организаций высшего образования, иных российских организаций, учредительными документами которых предусмотрена возможность выполнения научных исследований.","Финансирование одного проекта 
– до 1,5 млн рублей","1) Юридические лица, осуществляющие деятельность на территории Красноярского края по ОКВЭД 72; 
2) Соответствие приоритетным направлениям исследований;
3) Доля молодых исследователей до 39 лет в научном коллективе не менее 50%;
4) Софинансирование квалицированного заказчика.","КГАУ «Красноярский краевой фонд поддержки научной и научно-технической деятельности»: адрес – г. Красноярск, ул. Карла Маркса, 246, каб. 208; 
телефон – (391) 291-38-51;
электронная почта – info@sfkras.ru
сайт – http://www.sf-kras.ru.",,,Финансовая поддержка,22
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,"Сельскохозяйственные товаропроизводители, за исключением граждан, ведущих личное подсобное хозяйство, организации агропромышленного комплекса края","Субсидии сельскохозяйственным товаропроизводителям, за исключением граждан, ведущих личное подсобное хозяйство, организациям агропромышленного комплекса края на возмещение части затрат на строительство жилья в сельской местности, предоставляемого по договорам найма жилого помещения гражданам, проживающим и работающим на селе либо изъявившим желание переехать на постоянное место жительства в сельскую местность и работать там","Субсидии предоставляются в целях реализации мероприятия ведомственного проекта ""Комплексное развитие сельских территорий"" государственной программы Красноярского края ""Развитие сельского хозяйства и регулирование рынков сельскохозяйственной продукции, сырья и продовольствия"", утвержденной Постановлением Правительства Красноярского края от 30.09.2013 № 506-п, по возмещению части затрат на строительство жилья в сельской местности, предоставляемого по договорам найма жилого помещения гражданам, проживающим и работающим на селе либо изъявившим желание переехать на постоянное место жительства в сельскую местность и работать там.","Возмещается 50% от расчетной стоимости за построенный жилой дом в сельской местности и предоставленный по договору найма работнику предприятия. 
Размер общей площади жилого дома (квартиры) для субсидирования составляет не более 72 кв. метров на один жилой дом (квартиру).
Средняя рыночная стоимости 1 кв. метра общей площади жилого помещения составляет не более 1 кв. метра, определенная для края Министерством строительства и жилищно-коммунального хозяйства Российской Федерации на II квартал года, предшествующего году предоставления субсидии.","1) Заявитель построил жилой дом (квартиру) в сельской местности;
2) Заявитель зарегистрировал жилой дом (квартиру) в едином государственном реестре недвижимости не ранее трех лет, предшествующих году предоставления субсидии;                                                                                                                                      3) Заявитель имеет договор найма жилого помещения, заключенный между участником отбора и его работником, по состоянию на дату подачи заявки.","Министерство сельского хозяйства Красноярского края,
ГИС ""Субсидия АПК24"",
г. Красноярск ул. Марковского, 56, 
тел. 216-00-58, 216-00-47",,,Финансовая поддержка,23
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,"Потребительские кооперативы, относящиеся к малым формам хозяйствования","Субсидии на возмещение части затрат, связанных с закупом животноводческой продукции (молока, мяса крупного рогатого скота) у граждан, ведущих личное подсобное хозяйство","Возмещение сельскохозяйственным потребительским кооперативам части затрат, связанных с закупом животноводческой продукции (молока, мяса крупного рогатого скота) у граждан, ведущих личное подсобное хозяйство","1) возмещение затрат по закупу молока (в пересчете на молоко жирностью 3,4 процента) - 4 000,0 рублей на 1 тонну;                                                                                                             
2) возмещение затрат по закупу мяса крупного рогатого скота (в пересчете на живой вес) - 10 300,0 рублей на 1 тонну","Заявитель осуществлял деятельность по закупу животноводческой продукции (молока, мяса крупного рогатого скота) у граждан, ведущих личное подсобное хозяйство на территории Красноярского края, в период, за который возмещаются затраты.","Министерство сельского хозяйства Красноярского края, 
отдел развития малых форм хозяйствования и имущественных отношений – г. Красноярск, ул. Ленина, 125;
телефон – (391) 216-00-52;
сайт - http://www.krasagro.ru",,,Финансовая поддержка,24
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,"Индивидуальным предпринимателям, зарегистрированным не ранее года, предшествующего году предоставления гранта, основным видом деятельности которых являются выращивание, и (или) производство, 
и (или) переработка сельскохозяйственной продукции.","Грант «Наш фермер» в форме субсидий на финансовое обеспечение затрат, связанных с реализацией проекта по развитию сельскохозяйственной деятельности","Гранты предоставляются по следующим направлениям:
1) строительство и (или) реконструкция производственных 
и (или) складских зданий, строений, сооружений, предназначенных 
для производства, хранения и переработки сельскохозяйственной продукции;
2) приобретение ограждений для выпаса и выгула сельскохозяйственных животных, в том числе электрической изгороди;
3) подключение производственных и (или) складских зданий, строений, сооружений, предназначенных для производства, хранения и переработки сельскохозяйственной продукции, принадлежащих получателю гранта 
на праве собственности или ином законном основании, к электрическим, тепловым, газо-, водопроводным сетям, в том числе автономным;
4) приобретение сельскохозяйственных животных: крупный рогатый скот, мелкий рогатый скот, сельскохозяйственная птица;
5) приобретение сельскохозяйственной техники, включая прицепное 
и навесное оборудование, грузового автомобильного транспорта, оборудования для производства, переработки и хранения сельскохозяйственной продукции;
6) приобретение семенного материала овощей и (или) картофеля;
7) приобретение минеральных удобрений и (или) средств защиты растений;
8) приобретение земельных участков на территории края из земель сельскохозяйственного назначения для осуществления деятельности 
по выращиванию, и (или) производству, и (или) переработке сельскохозяйственной продукции.","Максимальный размер гранта составляет 8 000,0 тыс. рублей в расчете на одного получателя гранта, но не более 90 процентов затрат на реализацию проекта, предусмотренных перечнем расходов","1) Заявитель на первое число месяца подачи заявки должен быть зарегистрирован на сельской территории края;
2) Заявитель соответствует условию, предусматривающему реализацию проекта в течение 7 календарных лет с учетом года предоставления гранта;
3) Заявитель соответствует условию, предусматривающему наличие у участника отбора земельного участка, принадлежащего ему на праве собственности или ином законом основании, необходимого для реализации проекта и расположенного на территории края, по состоянию на дату не ранее первого числа месяца, в котором направляется заявка. Земельный участок должен принадлежать участнику отбора в течение срока реализации проекта (положение настоящего подпункта не применяется для участников отбора, перечни затрат которых предусматривают приобретение земельного участка за счет гранта);
4) Завитель не является или ранее не являлся получателем гранта «Агростартап», гранта на поддержку начинающего фермера.","Министерство сельского хозяйства Красноярского края:
адрес – г. Красноярск, ул. Ленина, 125;
телефон – (391) 216-00-48;
сайт - http://www.krasagro.ru",,,Финансовая поддержка,25
Финансовая поддержка,ГРАНТЫ И СУБСИДИИ,"Сельскохозяйственные товаропроизводители, за исключением граждан, ведущих личное подсобное хозяйство, вновь созданные сельскохозяйственные товаропроизводители, организации агропромышленного комплекса","Субсидии  на возмещение части затрат на строительство и (или) реконструкцию объектов (зданий, строений, сооружений) агропромышленного комплекса, включая входящее в их состав технологическое оборудование, в соответствии со сводным сметным расчетом стоимости строительства или реконструкции","Субсидия  на возмещение части затрат на строительство и (или) реконструкцию объектов (зданий, строений, сооружений) агропромышленного комплекса, включая входящее в их состав технологическое оборудование, в соответствии со сводным сметным расчетом стоимости строительства или реконструкции. 
Перечень видов объектов:
1. Здания, строения и (или) сооружения ферм и комплексов крупного рогатого скота (мясного и (или) молочного направления).
2. Здания, строения и (или) сооружения для сушки, и (или) подработки, и (или) хранения зерна.
3. Здания, строения и (или) сооружения для хранения овощейи (или) картофеля.
4. Здания, строения и (или) сооружения по переработке сельскохозяйственной продукции и (или) по производству пищевой продукции.","Расчет размера субсидии осуществляется в соответствии с пунктом 3.4 Порядка предоставления субсидий на возмещение части затрат на строительство и (или) реконструкцию объектов (зданий, строений, сооружений) агропромышленного комплекса, включая входящее в их состав технологическое оборудование, в соответствии со сводным сметным расчетом стоимости строительства или реконструкции и проведения отбора получателей указанных субсидий в 2025 году утвержденного приказом министерства сельского хозяйства Красноярского края от 03.10.2025 № 79-897-о (далее - Порядок).
Ставка субсидирования установлена в  размере 30 % от затрат на строительство и (или) реконструкцию объекта, включая входящее в его состав технологическое оборудование, в соответствии со сводным и (или) объектным сметным расчетом строительства объекта.","1) Заявитель ввел объект в эксплуатацию в течение трех лет с года выдачи разрешения на строительство
2)  Заявитель имеет исполненные сторонами в полном объеме договоры на выполнение работ (оказание услуг) и (или) договоры купли-продажи строительных материалов и (или) технологического оборудования, затраты на оплату которых включены в сводный сметный расчет стоимости строительства или реконструкции объекта, на дату направления заявки
3) Договоры, заключены в течение трех лет, предшествующих году ввода объекта в эксплуатацию
4) Заявитель приобрел новое технологическое оборудование годом выпуска не более трех лет. Количество лет, прошедших с года выпуска технологического оборудования, определяется в календарных годах с года, следующего за годом выпуска технологического оборудования
5) Заявитель принял технологическое оборудование к бухгалтерскому учету на дату направления заявки
6) Заявитель обратился за получением субсидии не позднее двух лет с года выдачи разрешения на ввод объекта в эксплуатацию
7) Заявитель осуществил строительство и (или) реконструкцию объектов, расположенных на территории края
8) Заявитель имеет доход от реализации товаров (работ, услуг) менее 2 миллиардов рублей за год, предшествующий году направления заявки (за исключением участников отбора, относящихся к организациям агропромышленного комплекса, осуществляющих производство пищевых продуктов, у которых в доходе от реализации товаров (работ, услуг) доля дохода от реализации произведенных пищевых продуктов составляет не менее 70 процентов за год, предшествующих году направления заявки);
9. Заявитель понес затраты на строительство и (или) реконструкцию объектов, включая входящее в их состав технологическое оборудование, общая стоимость которых не превышает 150 миллионов рублей, согласно сводному сметному расчету стоимости строительства или реконструкции объекта;
10. Наличие у заявителя права собственности на созданный и (или) реконструированный объект
11. Наличие у заявителя положительного заключения экспертизы проектной документации и (или) положительного заключения экспертизы инженерных изысканий объекта, включая положительное заключение экспертизы проектной документации объекта о достоверности определения сметной стоимости строительства или реконструкции объекта либо документа, подтверждающего достоверность определения сметной стоимости строительства или реконструкции объекта;
12. Заявитель представил заявку, в состав которой включены затраты, связанные со строительством или реконструкцией одного объекта.","Министерство сельского хозяйства Красноярского края
Отдел сопровождения приоритетных проектов
адрес – г. Красноярск, ул. Ленина, 125;
телефон – (391) 221-74-25;
сайт - http://www.krasagro.ru",,,Финансовая поддержка,26
